Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Saint-Hilaire-de-Dorset PE (2429020) 00909 (  9.1%),"Saint-Hilaire-de-Dorset PE (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Saint-ÃƒÂ‰variste-de-Forsyth MÃƒÂ‰ (2429025) 00010 ( 10.2%),"Saint-Évariste-de-Forsyth MÉ (CSD, QC)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
  La Guadeloupe VL (2429030) 00000 (  4.4%),"La Guadeloupe VL (CSD, QC)",56000,11200,28000,44800,67200,"<= $11,200","$11,200 - $28,000","$28,000 - $44,800","$44,800 - $67,200",">= $67,201",1400,280,700,1120,1680,<= $280,$280 - $700,"$700 - $1,120","$1,120 - $1,680",">= $1,681"
  Saint-HonorÃƒÂ©-de-Shenley MÃƒÂ‰ (2429038) 00000 (  1.2%),"Saint-Honoré-de-Shenley MÉ (CSD, QC)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,1935,<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Saint-Martin PE (2429045) 00000 (  5.0%),"Saint-Martin PE (CSD, QC)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
  Saint-RenÃƒÂ© PE (2429050) 00000 (  3.4%),"Saint-René PE (CSD, QC)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,2670,<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Saint-CÃƒÂ´me--LiniÃƒÂ¨re MÃƒÂ‰ (2429057) 00000 (  2.9%),"Saint-Côme--Linière MÉ (CSD, QC)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,1935,<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Saint-Philibert MÃƒÂ‰ (2429065) 00000 (  3.0%),"Saint-Philibert MÉ (CSD, QC)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Saint-Georges V (2429073) 00000 (  3.1%),"Saint-Georges V (CSD, QC)",63600,12720,31800,50880,76320,"<= $12,720","$12,720 - $31,800","$31,800 - $50,880","$50,880 - $76,320",">= $76,321",1590,318,795,1272,1908,<= $318,$318 - $795,"$795 - $1,272","$1,272 - $1,908",">= $1,909"
  Lac-Poulin VL (2429095) 00909 (  0.0%),"Lac-Poulin VL (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Saint-BenoÃƒÂ®t-Labre MÃƒÂ‰ (2429100) 00000 (  2.3%),"Saint-Benoît-Labre MÉ (CSD, QC)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,2205,<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Saint-ÃƒÂ‰phrem-de-Beauce MÃƒÂ‰ (2429112) 00000 (  3.5%),"Saint-Éphrem-de-Beauce MÉ (CSD, QC)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,2130,<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
  Notre-Dame-des-Pins PE (2429120) 00000 (  3.7%),"Notre-Dame-des-Pins PE (CSD, QC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,2430,<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Saint-Simon-les-Mines MÃƒÂ‰ (2429125) 00000 (  1.9%),"Saint-Simon-les-Mines MÉ (CSD, QC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Saint-Augustin-de-Woburn PE (2430005) 00000 (  3.2%),"Saint-Augustin-de-Woburn PE (CSD, QC)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Notre-Dame-des-Bois MÃƒÂ‰ (2430010) 01010 ( 14.8%),"Notre-Dame-des-Bois MÉ (CSD, QC)",50000,10000,25000,40000,60000,"<= $10,000","$10,000 - $25,000","$25,000 - $40,000","$40,000 - $60,000",">= $60,001",1250,250,625,1000,1500,<= $250,$250 - $625,"$625 - $1,000","$1,000 - $1,500",">= $1,501"
  Val-Racine MÃƒÂ‰ (2430015) 00909 (  4.3%),"Val-Racine MÉ (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Piopolis MÃƒÂ‰ (2430020) 00010 ( 11.3%),"Piopolis MÉ (CSD, QC)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,1728,<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Frontenac MÃƒÂ‰ (2430025) 00000 (  2.6%),"Frontenac MÉ (CSD, QC)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,2370,<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
  Lac-MÃƒÂ©gantic V (2430030) 00000 (  3.5%),"Lac-Mégantic V (CSD, QC)",50800,10160,25400,40640,60960,"<= $10,160","$10,160 - $25,400","$25,400 - $40,640","$40,640 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$254 - $635,"$635 - $1,016","$1,016 - $1,524",">= $1,525"
  Marston CT (2430035) 00000 (  6.9%),"Marston CT (CSD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,2025,<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Milan MÃƒÂ‰ (2430040) 00010 ( 13.2%),"Milan MÉ (CSD, QC)",75000,15000,37500,60000,90000,"<= $15,000","$15,000 - $37,500","$37,500 - $60,000","$60,000 - $90,000",">= $90,001",1875,375,937.5,1500,2250,<= $375,$375 - $938,"$938 - $1,500","$1,500 - $2,250",">= $2,251"
  Nantes MÃƒÂ‰ (2430045) 00000 (  2.0%),"Nantes MÉ (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Sainte-CÃƒÂ©cile-de-Whitton MÃƒÂ‰ (2430050) 00000 (  7.9%),"Sainte-Cécile-de-Whitton MÉ (CSD, QC)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,1965,<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Audet MÃƒÂ‰ (2430055) 00000 (  1.4%),"Audet MÉ (CSD, QC)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,2190,<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
  Saint-Robert-Bellarmin MÃƒÂ‰ (2430070) 00000 (  0.0%),"Saint-Robert-Bellarmin MÉ (CSD, QC)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Saint-Ludger MÃƒÂ‰ (2430072) 00000 (  3.6%),"Saint-Ludger MÉ (CSD, QC)",70500,14100,35250,56400,84600,"<= $14,100","$14,100 - $35,250","$35,250 - $56,400","$56,400 - $84,600",">= $84,601",1762.5,352.5,881.25,1410,2115,<= $353,$353 - $881,"$881 - $1,410","$1,410 - $2,115",">= $2,116"
  Lac-Drolet MÃƒÂ‰ (2430080) 00000 (  6.7%),"Lac-Drolet MÉ (CSD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  Saint-SÃƒÂ©bastien MÃƒÂ‰ (2430085) 00000 (  1.4%),"Saint-Sébastien MÉ (CSD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  Courcelles MÃƒÂ‰ (2430090) 00000 (  5.1%),"Courcelles MÉ (CSD, QC)",48400,9680,24200,38720,58080,"<= $9,680","$9,680 - $24,200","$24,200 - $38,720","$38,720 - $58,080",">= $58,081",1210,242,605,968,1452,<= $242,$242 - $605,$605 - $968,"$968 - $1,452",">= $1,453"
  Lambton MÃƒÂ‰ (2430095) 00010 ( 10.2%),"Lambton MÉ (CSD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  Saint-Romain MÃƒÂ‰ (2430100) 00000 (  8.6%),"Saint-Romain MÉ (CSD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  Stornoway MÃƒÂ‰ (2430105) 00000 (  1.9%),"Stornoway MÉ (CSD, QC)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,2130,<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
  Stratford CT (2430110) 00010 ( 13.2%),"Stratford CT (CSD, QC)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
  Beaulac-Garthby MÃƒÂ‰ (2431008) 00000 (  6.8%),"Beaulac-Garthby MÉ (CSD, QC)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Disraeli V (2431015) 00000 (  1.6%),"Disraeli V (CSD, QC)",46800,9360,23400,37440,56160,"<= $9,360","$9,360 - $23,400","$23,400 - $37,440","$37,440 - $56,160",">= $56,161",1170,234,585,936,1404,<= $234,$234 - $585,$585 - $936,"$936 - $1,404",">= $1,405"
  Disraeli PE (2431020) 00000 (  6.0%),"Disraeli PE (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,2010,<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Saint-Jacques-le-Majeur-de-Wolfestown PE (2431025) 00909 (  0.0%),"Saint-Jacques-le-Majeur-de-Wolfestown PE (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Saint-Fortunat MÃƒÂ‰ (2431030) 00000 (  0.0%),"Saint-Fortunat MÉ (CSD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Saint-Julien MÃƒÂ‰ (2431035) 00000 (  7.7%),"Saint-Julien MÉ (CSD, QC)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
  Irlande MÃƒÂ‰ (2431040) 00000 (  4.1%),"Irlande MÉ (CSD, QC)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
  Saint-Joseph-de-Coleraine MÃƒÂ‰ (2431045) 00000 (  7.5%),"Saint-Joseph-de-Coleraine MÉ (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Sainte-PraxÃƒÂ¨de PE (2431050) 01010 ( 19.5%),"Sainte-Praxède PE (CSD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,320 - $25,800","$25,800 - $41,280","$41,280 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$258 - $645,"$645 - $1,032","$1,032 - $1,548",">= $1,549"
  Adstock MÃƒÂ‰ (2431056) 00000 (  8.4%),"Adstock MÉ (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Sainte-Clotilde-de-Beauce MÃƒÂ‰ (2431060) 00000 (  7.0%),"Sainte-Clotilde-de-Beauce MÉ (CSD, QC)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,2760,<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Thetford Mines V (2431084) 00000 (  3.0%),"Thetford Mines V (CSD, QC)",57200,11440,28600,45760,68640,"<= $11,440","$11,440 - $28,600","$28,600 - $45,760","$45,760 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$286 - $715,"$715 - $1,144","$1,144 - $1,716",">= $1,717"
  Saint-Adrien-d'Irlande MÃƒÂ‰ (2431095) 00000 (  0.0%),"Saint-Adrien-d'Irlande MÉ (CSD, QC)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,2370,<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
  Saint-Jean-de-BrÃƒÂ©beuf MÃƒÂ‰ (2431100) 00000 (  2.4%),"Saint-Jean-de-Brébeuf MÉ (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Kinnear's Mills MÃƒÂ‰ (2431105) 00000 (  0.0%),"Kinnear's Mills MÉ (CSD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,2145,<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  East Broughton MÃƒÂ‰ (2431122) 00000 (  3.2%),"East Broughton MÉ (CSD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  SacrÃƒÂ©-Coeur-de-JÃƒÂ©sus PE (2431130) 00000 (  5.6%),"Sacré-Coeur-de-Jésus PE (CSD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  Saint-Pierre-de-Broughton MÃƒÂ‰ (2431135) 00000 (  2.0%),"Saint-Pierre-de-Broughton MÉ (CSD, QC)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,1728,<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Saint-Jacques-de-Leeds MÃƒÂ‰ (2431140) 00000 (  2.5%),"Saint-Jacques-de-Leeds MÉ (CSD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Saint-Ferdinand MÃƒÂ‰ (2432013) 00000 (  4.2%),"Saint-Ferdinand MÉ (CSD, QC)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Sainte-Sophie-d'Halifax MÃƒÂ‰ (2432023) 00000 (  0.0%),"Sainte-Sophie-d'Halifax MÉ (CSD, QC)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,2160,<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Princeville V (2432033) 00000 (  2.5%),"Princeville V (CSD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  Plessisville V (2432040) 00000 (  2.4%),"Plessisville V (CSD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Plessisville PE (2432045) 00000 (  1.9%),"Plessisville PE (CSD, QC)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,2340,<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Saint-Pierre-Baptiste PE (2432050) 00000 (  1.6%),"Saint-Pierre-Baptiste PE (CSD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,320 - $25,800","$25,800 - $41,280","$41,280 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$258 - $645,"$645 - $1,032","$1,032 - $1,548",">= $1,549"
  Inverness MÃƒÂ‰ (2432058) 00000 (  6.6%),"Inverness MÉ (CSD, QC)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
  Lyster MÃƒÂ‰ (2432065) 00000 (  6.9%),"Lyster MÉ (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Laurierville MÃƒÂ‰ (2432072) 00000 (  1.4%),"Laurierville MÉ (CSD, QC)",60400,12080,30200,48320,72480,"<= $12,080","$12,080 - $30,200","$30,200 - $48,320","$48,320 - $72,480",">= $72,481",1510,302,755,1208,1812,<= $302,$302 - $755,"$755 - $1,208","$1,208 - $1,812",">= $1,813"
  Notre-Dame-de-Lourdes PE (2432080) 00000 (  4.8%),"Notre-Dame-de-Lourdes PE (CSD, QC)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Villeroy MÃƒÂ‰ (2432085) 00000 (  2.0%),"Villeroy MÉ (CSD, QC)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Saint-Sylvestre MÃƒÂ‰ (2433007) 00000 (  3.7%),"Saint-Sylvestre MÉ (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Sainte-Agathe-de-LotbiniÃƒÂ¨re MÃƒÂ‰ (2433017) 00000 (  5.5%),"Sainte-Agathe-de-Lotbinière MÉ (CSD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  Saint-Patrice-de-Beaurivage MÃƒÂ‰ (2433025) 00000 (  2.7%),"Saint-Patrice-de-Beaurivage MÉ (CSD, QC)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,2085,<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
  Saint-Narcisse-de-Beaurivage PE (2433030) 00000 (  1.8%),"Saint-Narcisse-de-Beaurivage PE (CSD, QC)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,2295,<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Saint-Gilles MÃƒÂ‰ (2433035) 00000 (  6.9%),"Saint-Gilles MÉ (CSD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,2145,<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Dosquet MÃƒÂ‰ (2433040) 00000 (  0.9%),"Dosquet MÉ (CSD, QC)",62400,12480,31200,49920,74880,"<= $12,480","$12,480 - $31,200","$31,200 - $49,920","$49,920 - $74,880",">= $74,881",1560,312,780,1248,1872,<= $312,$312 - $780,"$780 - $1,248","$1,248 - $1,872",">= $1,873"
  Saint-Agapit MÃƒÂ‰ (2433045) 00000 (  2.7%),"Saint-Agapit MÉ (CSD, QC)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,2325,<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
  Saint-Flavien MÃƒÂ‰ (2433052) 00000 (  4.8%),"Saint-Flavien MÉ (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Laurier-Station VL (2433060) 00000 (  3.2%),"Laurier-Station VL (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,2010,<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Saint-Janvier-de-Joly MÃƒÂ‰ (2433065) 00000 (  3.0%),"Saint-Janvier-de-Joly MÉ (CSD, QC)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,2175,<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Val-Alain MÃƒÂ‰ (2433070) 00000 (  2.0%),"Val-Alain MÉ (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,2010,<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Saint-ÃƒÂ‰douard-de-LotbiniÃƒÂ¨re PE (2433080) 00000 (  2.3%),"Saint-Édouard-de-Lotbinière PE (CSD, QC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Notre-Dame-du-SacrÃƒÂ©-Coeur-d'Issoudun PE (2433085) 00000 (  1.1%),"Notre-Dame-du-Sacré-Coeur-d'Issoudun PE (CSD, QC)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,2700,<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Saint-Apollinaire MÃƒÂ‰ (2433090) 00000 (  2.2%),"Saint-Apollinaire MÉ (CSD, QC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Saint-Antoine-de-Tilly MÃƒÂ‰ (2433095) 00000 (  5.1%),"Saint-Antoine-de-Tilly MÉ (CSD, QC)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
