,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
  Lac-Poulin VL (2429095) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Saint-Benoît-Labre MÉ (2429100) 00000 (  2.3%),200,0,70,85,40,0,275,0,0,65,85,115,95,0,0,0,20,60,75,0,0,0,0,70,40,0,0,0,0,25
  Saint-Éphrem-de-Beauce MÉ (2429112) 00000 (  3.5%),275,0,110,100,35,20,370,0,20,110,120,120,110,0,0,0,55,45,95,0,0,0,0,80,75,0,0,0,0,65
  Notre-Dame-des-Pins PE (2429120) 00000 (  3.7%),220,0,90,80,40,0,310,0,30,70,115,100,65,0,0,0,15,55,95,0,0,0,20,70,40,0,0,0,0,30
  Saint-Simon-les-Mines MÉ (2429125) 00000 (  1.9%),50,0,0,0,0,0,80,0,0,20,30,0,40,0,0,0,15,20,30,0,0,0,0,20,30,0,0,0,0,25
  Saint-Augustin-de-Woburn PE (2430005) 00000 (  3.2%),100,0,30,30,25,0,115,0,10,25,35,45,35,0,0,0,0,15,30,0,0,0,0,25,20,0,0,0,0,20
  Notre-Dame-des-Bois MÉ (2430010) 01010 ( 14.8%),185,0,45,60,55,20,190,0,0,50,50,80,0,0,0,0,0,0,15,0,0,0,0,15,60,0,0,0,0,60
  Val-Racine MÉ (2430015) 00909 (  4.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Piopolis MÉ (2430020) 00010 ( 11.3%),60,0,15,20,20,0,115,0,0,35,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Frontenac MÉ (2430025) 00000 (  2.6%),215,0,75,80,20,25,310,0,35,80,65,130,80,0,0,0,25,45,100,0,0,0,25,75,55,0,0,0,0,45
  Lac-Mégantic V (2430030) 00000 (  3.5%),1315,50,465,380,300,125,990,0,20,150,280,535,250,0,0,15,20,215,195,0,0,0,20,165,120,0,0,0,0,120
  Marston CT (2430035) 00000 (  6.9%),115,0,30,50,15,0,145,0,0,40,35,55,25,0,0,0,0,0,35,0,0,0,0,25,20,0,0,0,0,20
  Milan MÉ (2430040) 00010 ( 13.2%),45,0,20,0,0,0,35,0,0,0,20,0,20,0,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0
  Nantes MÉ (2430045) 00000 (  2.0%),165,0,85,40,35,0,270,0,20,60,110,80,85,0,0,0,15,60,40,0,0,0,0,35,50,0,0,0,0,40
  Sainte-Cécile-de-Whitton MÉ (2430050) 00000 (  7.9%),75,0,25,35,0,0,155,0,0,50,50,45,25,0,0,0,0,25,30,0,0,0,0,20,30,0,0,0,0,30
  Audet MÉ (2430055) 00000 (  1.4%),90,0,45,20,0,0,100,0,15,25,35,25,25,0,0,0,0,25,20,0,0,0,0,15,35,0,0,0,0,25
  Saint-Robert-Bellarmin MÉ (2430070) 00000 (  0.0%),60,0,35,0,0,0,95,0,0,35,20,40,50,0,0,0,25,20,30,0,0,0,0,25,0,0,0,0,0,0
  Saint-Ludger MÉ (2430072) 00000 (  3.6%),115,0,60,20,20,0,200,0,15,35,60,85,65,0,0,0,0,40,20,0,0,0,0,0,25,0,0,0,0,0
  Lac-Drolet MÉ (2430080) 00000 (  6.7%),175,0,70,80,25,0,160,0,0,35,45,80,40,0,0,0,0,25,65,0,0,0,0,65,25,0,0,0,0,20
  Saint-Sébastien MÉ (2430085) 00000 (  1.4%),75,0,30,20,0,0,125,0,0,40,30,50,30,0,0,0,0,25,20,0,0,0,0,20,25,0,0,0,0,25
  Courcelles MÉ (2430090) 00000 (  5.1%),155,0,75,45,15,0,145,0,0,15,40,90,30,0,0,0,0,20,15,0,0,0,0,15,25,0,0,0,0,25
  Lambton MÉ (2430095) 00010 ( 10.2%),265,0,90,95,45,25,320,0,0,105,50,155,50,0,0,0,30,20,75,0,0,0,0,65,25,0,0,0,0,25
  Saint-Romain MÉ (2430100) 00000 (  8.6%),110,0,60,20,15,0,115,0,0,30,35,45,30,0,0,0,0,30,35,0,0,0,0,35,0,0,0,0,0,0
  Stornoway MÉ (2430105) 00000 (  1.9%),70,0,35,15,0,0,120,0,0,35,30,45,35,0,0,0,0,20,30,0,0,0,0,25,0,0,0,0,0,0
  Stratford CT (2430110) 00010 ( 13.2%),155,0,65,35,40,0,265,0,0,60,75,125,50,0,0,0,0,45,20,0,0,0,0,20,0,0,0,0,0,0
  Beaulac-Garthby MÉ (2431008) 00000 (  6.8%),140,0,70,30,25,0,290,0,0,70,85,130,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
  Disraeli V (2431015) 00000 (  1.6%),555,0,205,170,110,65,405,0,0,70,115,220,110,0,0,0,0,105,100,0,0,0,0,95,45,0,0,0,0,35
  Disraeli PE (2431020) 00000 (  6.0%),160,0,65,45,35,15,235,0,0,55,85,80,50,0,0,0,0,30,45,0,0,0,0,40,35,0,0,0,0,25
  Saint-Jacques-le-Majeur-de-Wolfestown PE (2431025) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Saint-Fortunat MÉ (2431030) 00000 (  0.0%),70,0,35,0,20,0,20,0,0,0,0,0,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Julien MÉ (2431035) 00000 (  7.7%),25,0,20,0,0,0,90,0,0,30,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Irlande MÉ (2431040) 00000 (  4.1%),85,0,35,25,20,0,190,0,0,70,50,65,25,0,0,0,0,20,45,0,0,0,0,45,15,0,0,0,0,0
  Saint-Joseph-de-Coleraine MÉ (2431045) 00000 (  7.5%),310,0,150,65,45,40,360,0,0,90,95,165,100,0,0,0,30,60,55,0,0,0,0,45,50,0,0,0,0,30
  Sainte-Praxède PE (2431050) 01010 ( 19.5%),30,0,0,0,0,0,70,0,0,30,25,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
  Adstock MÉ (2431056) 00000 (  8.4%),395,0,150,135,65,30,490,0,20,150,100,210,110,0,0,20,25,65,165,0,0,0,0,150,85,0,0,0,15,65
  Sainte-Clotilde-de-Beauce MÉ (2431060) 00000 (  7.0%),50,0,25,0,0,0,65,0,0,15,15,25,30,0,0,0,25,0,35,0,0,0,0,30,35,0,0,0,0,20
  Thetford Mines V (2431084) 00000 (  3.0%),4860,130,1965,1325,1000,440,4645,0,120,1010,1185,2320,1145,0,0,65,230,840,970,0,0,10,75,875,475,0,0,0,40,440
  Saint-Adrien-d'Irlande MÉ (2431095) 00000 (  0.0%),45,0,25,0,0,0,50,0,0,0,25,0,25,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
  Saint-Jean-de-Brébeuf MÉ (2431100) 00000 (  2.4%),60,0,20,25,0,0,45,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Kinnear's Mills MÉ (2431105) 00000 (  0.0%),40,0,25,0,0,0,40,0,0,20,0,0,20,0,0,0,0,15,25,0,0,0,0,25,0,0,0,0,0,0
  East Broughton MÉ (2431122) 00000 (  3.2%),350,0,190,105,30,25,370,0,20,130,100,125,150,0,0,0,25,115,100,0,0,0,0,100,40,0,0,0,0,40
  Sacré-Coeur-de-Jésus PE (2431130) 00000 (  5.6%),55,0,30,0,0,0,95,0,0,30,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Pierre-de-Broughton MÉ (2431135) 00000 (  2.0%),145,0,65,20,25,30,120,0,0,35,25,50,45,0,0,0,0,35,25,0,0,0,0,20,30,0,0,0,0,30
  Saint-Jacques-de-Leeds MÉ (2431140) 00000 (  2.5%),60,0,15,0,25,0,165,0,0,50,35,75,20,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0
  Saint-Ferdinand MÉ (2432013) 00000 (  4.2%),330,15,145,65,60,40,420,0,30,110,70,205,105,0,0,0,45,50,65,0,0,0,0,55,35,0,0,0,0,20
  Sainte-Sophie-d'Halifax MÉ (2432023) 00000 (  0.0%),40,0,20,0,0,0,75,0,0,35,0,25,20,0,0,0,0,0,35,0,0,0,20,15,20,0,0,0,0,15
  Princeville V (2432033) 00000 (  2.5%),920,40,330,305,185,55,1010,0,25,295,295,400,300,0,0,15,65,205,305,0,0,0,30,260,175,0,0,0,0,160
  Plessisville V (2432040) 00000 (  2.4%),1385,35,555,360,315,125,1070,0,25,225,280,535,275,0,0,15,25,235,280,0,0,0,20,255,145,0,0,0,0,130
  Plessisville PE (2432045) 00000 (  1.9%),250,0,115,85,35,15,425,0,60,135,105,120,110,0,0,0,35,65,155,0,0,0,30,125,80,0,0,0,20,65
  Saint-Pierre-Baptiste PE (2432050) 00000 (  1.6%),95,0,30,25,20,25,70,0,0,0,25,35,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
  Inverness MÉ (2432058) 00000 (  6.6%),160,0,55,40,40,20,145,0,0,35,25,75,0,0,0,0,0,0,35,0,0,0,0,35,0,0,0,0,0,0
  Lyster MÉ (2432065) 00000 (  6.9%),250,0,85,90,45,25,220,0,0,65,90,60,80,0,0,0,20,60,30,0,0,0,0,25,75,0,0,0,0,70
  Laurierville MÉ (2432072) 00000 (  1.4%),190,0,75,70,30,0,220,0,0,60,45,105,55,0,0,0,20,35,50,0,0,0,0,50,25,0,0,0,0,25
  Notre-Dame-de-Lourdes PE (2432080) 00000 (  4.8%),65,0,35,20,0,0,150,0,0,55,50,30,40,0,0,0,0,35,40,0,0,0,0,35,0,0,0,0,0,0
  Villeroy MÉ (2432085) 00000 (  2.0%),30,0,0,0,0,0,95,0,0,35,35,25,40,0,0,0,0,30,15,0,0,0,0,15,0,0,0,0,0,0
  Saint-Sylvestre MÉ (2433007) 00000 (  3.7%),160,0,65,35,35,20,130,0,0,20,35,75,25,0,0,0,0,15,20,0,0,0,0,20,45,0,0,0,0,45
  Sainte-Agathe-de-Lotbinière MÉ (2433017) 00000 (  5.5%),160,0,60,35,50,0,170,0,10,40,40,80,40,0,0,0,0,35,35,0,0,0,0,25,25,0,0,0,0,25
  Saint-Patrice-de-Beaurivage MÉ (2433025) 00000 (  2.7%),140,0,50,45,20,15,125,0,0,55,15,50,80,0,0,0,35,50,50,0,0,0,0,35,30,0,0,0,0,25
  Saint-Narcisse-de-Beaurivage PE (2433030) 00000 (  1.8%),115,0,40,50,20,0,135,0,15,30,55,40,50,0,0,0,20,25,65,0,0,0,15,55,45,0,0,0,0,35
  Saint-Gilles MÉ (2433035) 00000 (  6.9%),380,15,170,105,75,10,385,0,40,95,115,135,165,0,0,15,45,105,185,0,0,0,20,165,65,0,0,0,0,60
  Dosquet MÉ (2433040) 00000 (  0.9%),135,0,65,45,25,0,165,0,0,35,40,80,50,0,0,0,0,35,35,0,0,0,0,35,20,0,0,0,0,20
  Saint-Agapit MÉ (2433045) 00000 (  2.7%),500,20,215,185,70,0,760,0,70,180,285,230,260,0,0,20,80,150,235,0,0,0,45,195,115,0,0,0,15,100
  Saint-Flavien MÉ (2433052) 00000 (  4.8%),190,20,80,75,0,0,240,0,0,60,70,105,90,0,0,0,35,45,75,0,0,0,15,55,50,0,0,0,0,50
  Laurier-Station VL (2433060) 00000 (  3.2%),365,0,155,125,55,30,415,0,10,100,150,145,120,0,0,0,0,95,160,0,0,0,0,140,55,0,0,0,0,50
  Saint-Janvier-de-Joly MÉ (2433065) 00000 (  3.0%),150,0,55,55,25,0,190,0,20,40,65,65,50,0,0,0,0,30,30,0,0,0,0,25,45,0,0,0,0,40
  Val-Alain MÉ (2433070) 00000 (  2.0%),115,0,45,30,25,0,175,0,15,50,60,60,55,0,0,0,0,40,35,0,0,0,20,20,35,0,0,0,0,30
  Saint-Édouard-de-Lotbinière PE (2433080) 00000 (  2.3%),165,0,55,60,40,0,180,0,0,55,55,55,65,0,0,0,20,40,55,0,0,0,0,50,30,0,0,0,0,30
  Notre-Dame-du-Sacré-Coeur-d'Issoudun PE (2433085) 00000 (  1.1%),80,0,30,35,0,0,125,0,20,15,55,35,40,0,0,0,0,20,45,0,0,0,0,30,25,0,0,0,0,25
  Saint-Apollinaire MÉ (2433090) 00000 (  2.2%),895,35,405,310,125,25,1190,0,145,275,380,385,510,0,0,55,170,280,480,0,0,20,90,360,195,0,0,0,45,150
  Saint-Antoine-de-Tilly MÉ (2433095) 00000 (  5.1%),240,15,75,50,50,50,295,0,40,65,55,135,60,0,0,15,0,40,55,0,0,0,0,40,65,0,0,0,20,40
  Sainte-Croix MÉ (2433102) 00000 (  2.1%),400,15,145,120,95,30,425,0,25,85,105,205,85,0,0,0,20,55,115,0,0,0,0,100,60,0,0,0,0,60
  Lotbinière MÉ (2433115) 00000 (  3.9%),155,0,60,55,20,20,165,0,0,30,55,85,15,0,0,0,0,15,30,0,0,0,0,30,0,0,0,0,0,0
  Leclercville MÉ (2433123) 00000 (  3.6%),85,0,20,25,20,0,75,0,0,20,20,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Neuville V (2434007) 00000 (  2.8%),455,0,215,155,45,30,765,0,95,165,265,245,240,0,0,25,75,125,245,0,0,15,40,190,130,0,0,0,35,90
  Pont-Rouge V (2434017) 00000 (  1.9%),1105,45,445,385,185,40,1575,0,230,320,520,495,570,0,20,55,200,300,630,0,0,0,145,465,240,0,0,0,35,205
  Donnacona V (2434025) 00000 (  2.1%),1205,30,495,400,195,90,1200,0,45,310,350,495,350,0,0,25,45,275,365,0,0,10,30,320,135,0,0,0,20,115
  Cap-Santé V (2434030) 00000 (  2.4%),375,25,165,130,40,15,625,0,65,175,210,170,210,0,0,20,65,125,195,0,0,0,30,155,85,0,0,0,20,60
  Saint-Basile V (2434038) 00000 (  3.3%),425,0,230,80,70,45,460,0,0,95,150,205,140,0,0,0,45,80,130,0,0,0,0,95,60,0,0,0,0,55
  Portneuf V (2434048) 00000 (  3.0%),580,0,240,190,105,40,655,0,20,125,210,300,175,0,0,0,35,135,120,0,0,0,0,100,65,0,0,0,0,55
  Deschambault-Grondines MÉ (2434058) 00000 (  3.4%),375,15,165,90,65,35,370,0,0,85,105,160,90,0,0,0,15,65,125,0,0,0,35,80,50,0,0,0,0,45
  Saint-Gilbert PE (2434060) 00000 (  0.0%),20,0,0,0,0,0,65,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Marc-des-Carrières V (2434065) 00000 (  1.8%),495,0,245,90,90,55,470,0,0,120,130,205,175,0,0,20,35,125,105,0,0,0,0,100,70,0,0,0,0,55
  Saint-Casimir MÉ (2434078) 00000 (  2.3%),245,0,105,75,40,15,275,0,0,65,70,145,70,0,0,0,0,60,25,0,0,0,0,25,40,0,0,0,0,35
  Saint-Thuribe PE (2434085) 00000 (  2.9%),35,0,0,0,0,0,65,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Ubalde MÉ (2434090) 00000 (  9.8%),285,0,105,60,75,45,280,0,0,85,70,125,55,0,0,0,0,35,50,0,0,0,0,45,30,0,0,0,0,30
  Saint-Alban MÉ (2434097) 00000 (  8.8%),245,0,95,85,35,20,185,0,0,55,45,80,40,0,0,0,0,40,65,0,0,0,0,60,30,0,0,0,0,25
  Sainte-Christine-d'Auvergne MÉ (2434105) 00000 (  2.7%),95,0,30,40,0,0,175,0,0,35,55,80,30,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Léonard-de-Portneuf MÉ (2434115) 00000 (  4.9%),165,0,60,55,35,0,220,0,0,75,30,115,50,0,0,0,0,35,65,0,0,0,0,60,20,0,0,0,0,20
  Lac-Sergent V (2434120) 01010 ( 13.4%),65,0,35,20,0,0,115,0,0,15,30,45,25,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0
  Saint-Raymond V (2434128) 00000 (  4.5%),1620,60,740,500,245,75,1930,0,105,465,535,810,595,0,0,60,155,375,570,0,0,15,70,480,225,0,0,0,15,205
  Rivière-à-Pierre MÉ (2434135) 01010 ( 16.1%),105,0,20,40,20,0,170,0,0,55,35,65,20,0,0,0,0,20,10,0,0,0,0,10,20,0,0,0,0,20
  Lac-Blanc NO (2434902) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Linton NO (2434904) 09999 (100.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lac-Lapeyrère NO (2434906) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Notre-Dame-de-Montauban MÉ (2435005) 01000 (  9.3%),175,0,35,55,45,25,220,0,0,25,65,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lac-aux-Sables PE (2435010) 00010 ( 12.9%),290,0,125,80,50,30,345,0,0,70,90,175,55,0,0,0,0,40,40,0,0,0,0,30,0,0,0,0,0,0
  Saint-Adelphe PE (2435015) 00000 (  4.6%),150,0,45,55,15,25,170,0,0,45,40,75,70,0,0,0,0,45,20,0,0,0,0,20,0,0,0,0,0,0
  Saint-Séverin PE (2435020) 00000 (  2.5%),150,0,90,30,20,0,120,0,0,15,40,60,50,0,0,0,15,30,0,0,0,0,0,0,45,0,0,0,0,45
  Saint-Tite V (2435027) 00000 (  4.5%),870,0,315,240,160,140,665,0,0,135,170,360,170,0,0,0,20,145,105,0,0,0,0,100,60,0,0,0,0,60
  Hérouxville PE (2435035) 00000 (  1.9%),185,0,80,65,30,0,270,0,25,55,100,90,105,0,0,0,30,60,50,0,0,0,0,50,25,0,0,0,0,20
  Grandes-Piles VL (2435040) 00000 (  4.8%),85,0,45,20,0,0,145,0,0,20,40,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Roch-de-Mékinac PE (2435045) 00010 ( 10.9%),55,0,35,0,0,0,85,0,0,15,15,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Sainte-Thècle MÉ (2435050) 00000 (  3.5%),455,0,155,155,50,80,460,0,20,105,120,210,100,0,0,0,0,90,90,0,0,0,0,80,45,0,0,0,0,30
  Trois-Rives MÉ (2435055) 01010 ( 17.0%),140,0,40,35,50,0,135,0,0,0,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lac-Masketsi NO (2435902) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lac-Normand NO (2435904) 09999 ( 71.4%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Rivière-de-la-Savane NO (2435906) 05999 (100.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lac-Boulé NO (2435908) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Shawinigan V (2436033) 00000 (  3.5%),10810,310,4365,2790,2260,1085,9205,0,300,1535,2520,4835,2305,0,20,105,370,1810,1595,0,0,30,110,1445,875,0,0,0,90,770
  Trois-Rivières V (2437067) 00000 (  3.0%),26740,1160,10440,7660,4870,2610,23855,35,915,4405,6565,11930,6985,0,145,455,1290,5080,5645,0,30,135,425,5055,2655,0,0,65,215,2360
  Sainte-Anne-de-la-Pérade MÉ (2437205) 00000 (  4.8%),410,0,155,105,95,45,340,0,0,60,100,175,80,0,0,0,30,50,75,0,0,0,0,60,45,0,0,0,0,45
  Batiscan MÉ (2437210) 00000 (  5.0%),155,0,50,55,30,0,215,0,0,50,55,100,45,0,0,0,0,35,35,0,0,0,0,30,15,0,0,0,0,15
  Sainte-Geneviève-de-Batiscan PE (2437215) 00000 (  4.0%),170,0,75,45,20,20,240,0,0,75,70,90,40,0,0,0,0,25,30,0,0,0,0,30,15,0,0,0,0,15
  Champlain MÉ (2437220) 00000 (  2.8%),280,0,85,125,55,15,375,0,35,90,55,195,70,0,0,0,20,45,75,0,0,0,0,60,35,0,0,0,0,30
  Saint-Luc-de-Vincennes MÉ (2437225) 00000 (  4.8%),65,0,35,0,0,0,100,0,0,20,40,40,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Maurice PE (2437230) 00000 (  1.5%),335,25,145,120,30,15,495,0,80,120,155,140,185,0,0,25,50,100,200,0,0,0,30,165,105,0,0,0,25,80
  Notre-Dame-du-Mont-Carmel PE (2437235) 00000 (  2.1%),665,30,255,200,130,50,1010,0,70,290,320,335,375,0,0,45,130,195,340,0,0,20,60,265,150,0,0,0,15,120
  Saint-Narcisse PE (2437240) 00000 (  4.3%),315,25,120,80,50,30,280,0,0,55,100,115,85,0,0,0,25,55,95,0,0,0,0,85,35,0,0,0,0,30
  Saint-Stanislas MÉ (2437245) 00000 (  4.5%),195,0,75,45,45,0,185,0,0,35,50,95,55,0,0,0,0,40,40,0,0,0,0,40,10,0,0,0,0,10
  Saint-Prosper-de-Champlain MÉ (2437250) 00000 (  1.6%),120,0,30,30,30,30,85,0,0,0,25,60,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
  Saint-Sylvère MÉ (2438005) 00000 (  3.4%),80,0,50,0,15,0,135,0,0,35,20,65,40,0,0,0,0,30,35,0,0,0,0,30,25,0,0,0,0,0
  Bécancour V (2438010) 00000 (  2.5%),1975,75,845,565,305,175,2230,0,145,535,675,870,690,0,25,75,145,450,685,0,0,0,65,595,285,0,0,0,40,230
  Sainte-Marie-de-Blandford MÉ (2438015) 00000 (  5.6%),85,0,30,15,15,20,90,0,0,25,20,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lemieux MÉ (2438020) 00000 (  3.3%),45,0,15,0,0,0,30,0,0,0,25,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
  Manseau MÉ (2438028) 00000 (  2.0%),135,0,70,25,20,15,160,0,0,45,55,55,35,0,0,0,0,30,20,0,0,0,0,15,20,0,0,0,0,20
  Sainte-Françoise MÉ (2438035) 00000 (  3.5%),55,0,25,0,0,0,105,0,0,30,35,25,20,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0
  Sainte-Sophie-de-Lévrard PE (2438040) 00000 (  3.3%),165,0,60,40,35,30,105,0,0,30,25,50,30,0,0,0,0,25,15,0,0,0,0,15,15,0,0,0,0,15
  Fortierville MÉ (2438047) 00000 (  3.9%),95,0,65,0,15,0,125,0,0,35,45,45,30,0,0,0,0,25,20,0,0,0,0,20,30,0,0,0,0,25
  Parisville PE (2438055) 00000 (  0.0%),60,0,25,0,0,0,65,0,0,15,15,35,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
  Sainte-Cécile-de-Lévrard PE (2438060) 00000 (  0.0%),30,0,0,0,0,0,65,0,0,20,20,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
  Saint-Pierre-les-Becquets MÉ (2438065) 00000 (  0.8%),180,0,60,40,60,15,240,0,0,65,60,115,40,0,0,0,0,0,45,0,0,0,0,45,0,0,0,0,0,0
  Deschaillons-sur-Saint-Laurent MÉ (2438070) 00000 (  1.7%),195,0,60,50,55,25,175,0,0,30,35,100,40,0,0,0,0,25,0,0,0,0,0,0,20,0,0,0,0,20
  Saints-Martyrs-Canadiens PE (2439005) 01010 ( 15.4%),55,0,25,0,0,0,70,0,0,20,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ham-Nord CT (2439010) 00000 (  5.8%),135,0,0,45,35,25,155,0,0,30,60,65,50,0,0,0,0,35,25,0,0,0,0,25,15,0,0,0,0,15
  Notre-Dame-de-Ham MÉ (2439015) 00000 (  2.1%),80,0,30,25,0,0,60,0,0,15,20,30,30,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,15
  Saint-Rémi-de-Tingwick MÉ (2439020) 00000 (  8.5%),40,0,0,20,0,0,95,0,0,25,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Tingwick MÉ (2439025) 00000 (  5.4%),185,0,90,45,25,0,240,0,40,35,60,105,65,0,0,0,35,0,60,0,0,0,0,50,50,0,0,0,0,40
  Chesterville MÉ (2439030) 00000 (  4.4%),85,0,45,0,25,0,115,0,0,40,25,45,70,0,0,20,25,30,35,0,0,0,0,25,25,0,0,0,0,20
  Sainte-Hélène-de-Chester MÉ (2439035) 00000 (  0.0%),50,0,15,25,0,0,25,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,15,20,0,0,0,0,0
  Saint-Norbert-d'Arthabaska MÉ (2439043) 00000 (  0.8%),105,0,45,0,35,0,185,0,45,40,40,60,45,0,0,0,15,20,55,0,0,0,10,40,25,0,0,0,0,20
  Saint-Christophe-d'Arthabaska PE (2439060) 00000 (  1.7%),245,0,140,50,30,0,440,0,55,120,145,120,135,0,0,15,60,55,205,0,0,0,30,165,130,0,0,0,0,115
