,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Embree T (1008043) 00000 (  5.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
Lewisporte T (1008044) 00000 (  4.9%),110,110,25,0,0,0,70,70,25,35,35,0,0,0,0,0,0,0,275,270,65,0,0,0,80,80,60,95,95,0,60,60,0,30,30,0
"Division No. 8, Subd. E SNO (1008046) 00001 (  7.6%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leading Tickles T (1008048) 00000 (  1.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point Leamington T (1008049) 00000 (  4.2%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilley's Island T (1008053) 00000 (  6.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triton T (1008054) 00000 (  8.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,25,0,0,0,25,25,25,0,0,0,15,15,0,0,0,0
"Division No. 8, Subd. C SNO (1008058) 00000 (  4.6%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Brook T (1008059) 00000 (  5.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert's Arm T (1008060) 00000 (  6.3%),30,30,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springdale T (1008061) 00000 (  9.5%),70,70,25,0,0,0,50,50,25,0,0,0,0,0,0,0,0,0,320,320,55,0,0,0,125,125,55,80,80,0,55,55,0,55,55,0
"Division No. 8, Subd. P SNO (1008065) 00000 (  7.1%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Division No. 8, Subd. O SNO (1008067) 00000 (  5.3%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King's Point T (1008069) 00000 (  1.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Burlington T (1008071) 00000 (  3.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Arm T (1008072) 00000 (  8.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaScie T (1008076) 00000 (  4.1%),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0
Baie Verte T (1008079) 00000 (  6.9%),30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,20,0,0,0,25,25,20,20,20,0,20,20,0,25,25,0
Seal Cove (White Bay) T (1008091) 00011 ( 12.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ming's Bight T (1008095) 00010 ( 10.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fogo Island T (1008099) 00000 (  8.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,100,30,0,0,0,25,25,25,15,15,0,15,15,0,40,40,0
Englee T (1009004) 00000 (  9.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roddickton-Bide Arm T (1009007) 00010 ( 11.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trout River T (1009010) 00000 (  6.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
"Woody Point, Bonne Bay T (1009011) 00000 (  6.0%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norris Point T (1009012) 00000 (  7.0%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Harbour T (1009013) 00000 (  6.0%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,15,0,0,0,0,0,0,20,20,0,20,20,0,0,0,0
Daniel's Harbour T (1009015) 00000 (  4.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cow Head T (1009016) 00000 (  3.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parson's Pond T (1009017) 00011 ( 19.1%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawke's Bay T (1009018) 00011 ( 14.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Saunders T (1009019) 00000 (  5.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
"Division No. 9, Subd. C SNO (1009021) 00010 ( 10.5%)",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port au Choix T (1009022) 00000 (  7.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
Anchor Point T (1009023) 00000 (  3.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Anthony T (1009029) 00000 (  8.9%),50,45,25,0,0,0,35,30,15,0,0,0,0,0,0,0,0,0,115,110,35,0,0,0,40,40,25,15,15,0,25,25,0,25,25,0
"Division No. 9, Subd. D SNO (1009031) 00000 (  9.3%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lunaire-Griquet T (1009032) 00000 (  7.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Anse au Loup T (1010002) 00000 (  9.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forteau T (1010005) 00011 ( 11.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Division No. 10, Subd. B SNO (1010008) 00101 (  8.3%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Hope Simpson T (1010009) 00000 (  3.3%),0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
Mary's Harbour T (1010011) 00000 (  2.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cartwright, Labrador T (1010012) 00000 (  1.2%)",30,30,10,10,10,0,15,15,10,0,0,0,0,0,0,0,0,0,20,20,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
Charlottetown (Labrador) T (1010013) 00000 (  6.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0
"Division No. 10, Subd. C SNO (1010020) 00101 (  8.5%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
North West River T (1010022) 00000 (  4.0%),10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,35,35,10,10,0,0,10,10,10,0,0,0,10,10,0,15,15,0
Happy Valley-Goose Bay T (1010025) 00000 (  6.3%),270,270,50,65,65,25,60,60,0,60,60,0,35,35,0,50,50,0,755,720,60,65,25,20,200,200,40,165,165,0,195,195,0,135,135,0
"Division No. 10, Subd. D SNO (1010029) 00000 (  4.5%)",120,120,0,0,0,0,0,0,0,25,25,0,45,45,0,35,35,0,105,105,0,0,0,0,0,0,0,25,25,0,45,45,0,30,30,0
Labrador City T (1010032) 00000 (  3.2%),120,115,35,70,60,35,0,0,0,0,0,0,0,0,0,20,20,0,490,490,55,30,30,30,120,120,25,140,140,0,140,140,0,55,55,0
Wabush T (1010034) 00000 (  4.6%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,125,0,0,0,0,35,35,0,20,20,0,25,25,0,40,40,0
Rigolet T (1011010) 00101 (  8.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,10,0,0,0,10,10,0,0,0,0,15,15,10,15,15,0
Makkovik T (1011020) 00101 (  7.1%),10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopedale T (1011030) 02323 ( 26.0%),10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,35,10,0,0,15,15,0,10,10,10,20,20,15,20,20,0
Nain T (1011035) 01212 ( 14.2%),35,35,15,0,0,0,15,15,10,0,0,0,0,0,0,10,10,0,55,55,15,0,0,0,10,10,0,0,0,0,15,15,0,20,20,0
Nova Scotia (12) 00000 (  5.5%),15050,14355,6770,2905,2290,1790,8150,8065,4485,2360,2360,450,1005,1005,45,640,640,0,107595,101195,25725,10420,4740,4115,28120,27450,18170,26985,26940,3160,22785,22780,280,19280,19280,0
Barrington MD (1201001) 00000 (  9.2%),60,60,35,25,25,0,30,30,20,0,0,0,0,0,0,0,0,0,350,350,130,25,25,25,105,105,90,110,110,0,80,80,0,30,30,0
Clark's Harbour T (1201004) 00011 ( 10.3%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20,0
Shelburne MD (1201006) 00000 (  8.8%),45,45,30,0,0,0,25,25,15,15,15,0,0,0,0,0,0,0,235,230,55,15,0,0,45,45,30,85,85,15,55,55,0,40,40,0
Shelburne T (1201008) 00001 (  8.1%),55,55,35,15,15,15,30,30,20,0,0,0,0,0,0,0,0,0,210,205,80,15,0,0,65,65,55,40,40,15,40,40,0,55,55,0
Lockeport T (1201009) 00000 (  6.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle MD (1202001) 00000 (  5.4%),50,50,25,0,0,0,35,35,25,0,0,0,0,0,0,0,0,0,275,260,65,30,0,0,90,90,50,60,60,0,45,45,0,55,55,0
Yarmouth MD (1202004) 00000 (  8.1%),110,110,20,0,0,0,70,70,0,25,25,0,0,0,0,0,0,0,500,490,65,30,20,15,135,135,45,150,145,0,110,110,0,85,85,0
Yarmouth T (1202006) 00000 (  6.7%),420,410,190,45,35,30,175,175,125,115,115,25,60,60,0,25,25,0,1355,1315,340,30,0,0,315,310,285,305,305,50,345,345,0,355,355,0
Clare MD (1203001) 00000 (  7.6%),110,110,45,25,25,0,55,55,25,20,20,0,0,0,0,0,0,0,375,355,80,35,15,15,90,90,50,85,85,0,95,95,0,70,70,0
Digby MD (1203004) 00000 (  7.6%),70,65,20,10,0,0,30,30,0,0,0,0,15,15,0,0,0,0,495,460,155,45,20,0,130,125,90,120,120,55,80,80,0,120,120,0
Digby T (1203006) 00011 ( 13.9%),100,100,40,0,0,0,50,50,25,30,30,0,0,0,0,0,0,0,415,400,175,20,0,0,90,85,80,90,90,65,130,130,25,85,85,0
Queens RGM (1204010) 00001 (  7.7%),195,195,75,0,0,0,115,115,65,30,30,0,35,35,0,0,0,0,705,675,210,35,0,0,245,240,180,185,185,0,120,120,0,120,120,0
"Annapolis, Subd. D SC (1205001) 00000 (  8.9%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,115,45,0,0,0,40,40,35,40,40,0,25,25,0,0,0,0
"Annapolis, Subd. A SC (1205004) 00000 (  8.3%)",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,330,105,30,0,0,60,60,55,85,85,35,105,105,0,60,60,0
Annapolis Royal T (1205008) 00000 (  7.1%),45,45,35,0,0,0,20,20,0,25,25,25,0,0,0,0,0,0,105,105,45,0,0,0,30,30,20,25,25,20,20,20,0,25,25,0
"Annapolis, Subd. B SC (1205009) 00000 (  4.2%)",125,125,60,25,25,0,70,70,45,15,15,0,0,0,0,0,0,0,275,255,85,20,0,0,65,65,45,55,55,30,55,55,0,70,70,0
"Annapolis, Subd. C SC (1205014) 00000 (  6.1%)",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,330,115,40,25,15,100,95,75,80,80,25,65,65,0,70,70,0
Middleton T (1205016) 00000 (  6.0%),85,85,35,0,0,0,30,30,20,40,40,20,0,0,0,0,0,0,375,360,180,20,0,0,105,105,100,80,80,50,80,80,15,90,90,0
Lunenburg MD (1206001) 00000 (  5.8%),70,65,25,0,0,0,45,45,25,0,0,0,0,0,0,0,0,0,1090,1040,310,130,75,70,265,265,185,225,225,55,255,255,0,210,210,0
Bridgewater T (1206004) 00000 (  5.2%),270,245,125,15,0,0,200,190,115,35,35,0,0,0,0,15,15,0,1500,1440,310,55,20,20,325,300,225,410,410,65,315,315,0,395,395,0
Lunenburg T (1206006) 00100 (  2.9%),30,30,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,335,330,65,0,0,0,90,90,50,85,85,0,85,85,0,70,70,0
Mahone Bay T (1206008) 00000 (  5.5%),25,25,20,0,0,0,20,20,15,0,0,0,0,0,0,0,0,0,160,150,40,0,0,0,30,30,25,25,25,0,35,35,0,55,55,0
Chester MD (1206009) 00000 (  6.6%),65,55,35,0,0,0,45,45,30,0,0,0,0,0,0,0,0,0,710,670,115,35,15,15,160,150,85,170,165,0,195,195,0,140,140,0
"Kings, Subd. A SC (1207001) 00000 (  6.1%)",260,255,75,30,25,20,100,100,50,30,30,0,50,50,0,50,50,0,2080,2035,440,140,100,95,465,465,310,485,485,40,490,490,0,495,495,0
Berwick T (1207004) 00000 (  4.9%),30,30,20,0,0,0,25,25,20,0,0,0,0,0,0,0,0,0,355,350,125,25,20,20,115,115,100,85,85,0,70,70,0,70,70,0
"Kings, Subd. C SC (1207011) 00000 (  4.1%)",125,110,65,40,30,30,75,70,35,0,0,0,0,0,0,0,0,0,1015,965,255,75,40,40,315,305,195,260,260,20,205,205,0,165,165,0
Kentville T (1207012) 00000 (  4.4%),120,120,60,15,15,0,85,85,50,0,0,0,0,0,0,0,0,0,1035,990,275,140,95,90,280,280,175,285,285,0,175,175,0,155,155,0
"Kings, Subd. B SC (1207016) 00000 (  6.6%)",160,150,65,30,25,15,70,70,40,40,40,0,0,0,0,0,0,0,1240,1205,290,95,55,55,350,350,220,305,305,20,305,305,0,190,190,0
"Kings, Subd. D SC (1207021) 00000 (  5.0%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,285,45,30,20,0,70,70,40,70,70,0,70,70,0,60,60,0
Wolfville T (1207024) 00100 (  5.0%),160,145,60,25,0,0,95,95,50,20,20,0,0,0,0,0,0,0,885,795,150,95,20,20,230,210,105,185,185,0,220,220,0,160,160,0
West Hants MD (1208001) 00000 (  4.9%),140,140,70,35,35,25,110,110,50,0,0,0,0,0,0,0,0,0,710,685,155,70,40,40,160,160,105,190,190,0,180,180,0,115,115,0
Windsor T (1208002) 00000 (  4.5%),130,125,55,0,0,0,70,70,50,50,50,0,0,0,0,0,0,0,745,695,210,45,0,0,170,160,155,205,205,55,180,180,0,145,145,0
East Hants MD (1208008) 00000 (  4.1%),105,100,50,35,30,25,50,50,30,0,0,0,0,0,0,0,0,0,1330,1255,215,135,80,70,390,370,145,340,340,0,275,275,0,190,190,0
Halifax RGM (1209034) 00000 (  4.7%),5685,5320,2910,1535,1190,945,2800,2785,1785,690,690,175,410,410,0,250,250,0,63050,58515,14410,6925,2835,2410,16195,15770,10515,15900,15880,1390,13345,13345,105,10690,10690,0
"Colchester, Subd. C SC (1210001) 00000 (  4.9%)",90,80,30,40,25,15,30,30,15,0,0,0,0,0,0,0,0,0,900,870,205,60,35,30,300,300,165,200,200,0,175,175,0,165,165,0
Stewiacke T (1210002) 00000 (  7.7%),45,45,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,175,175,25,0,0,0,40,40,25,65,65,0,45,45,0,25,25,0
Truro T (1210006) 00000 (  5.0%),445,410,230,45,20,20,285,280,205,65,65,0,25,25,0,20,20,0,2940,2775,735,140,15,0,730,700,565,675,675,155,675,675,0,715,715,0
"Colchester, Subd. B SC (1210008) 00000 (  6.5%)",165,165,70,0,0,0,130,130,65,30,30,0,0,0,0,0,0,0,1620,1555,280,135,85,70,455,450,200,470,470,0,285,285,0,270,270,0
"Colchester, Subd. A SC (1210012) 00000 (  8.2%)",40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,20,0,0,0,25,25,0,20,20,0,15,15,0,30,30,0
"Cumberland, Subd. A SC (1211001) 00000 (  7.9%)",20,20,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,85,85,30,0,0,0,45,45,20,0,0,0,0,0,0,20,20,0
Parrsboro T (1211002) 00000 (  6.2%),90,90,40,0,0,0,45,45,20,25,25,0,0,0,0,0,0,0,90,85,55,0,0,0,30,30,25,25,25,25,15,15,0,0,0,0
"Cumberland, Subd. B SC (1211006) 00000 (  9.8%)",150,145,30,0,0,0,80,80,25,45,45,0,0,0,0,0,0,0,425,415,165,25,0,0,125,125,105,105,105,45,110,110,0,70,70,0
"Cumberland, Subd. C SC (1211009) 00000 (  6.9%)",25,25,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,155,150,15,0,0,0,35,35,0,20,20,0,40,40,0,45,45,0
Amherst T (1211011) 00000 (  4.0%),300,300,105,30,25,20,175,175,70,65,65,0,25,25,0,0,0,0,1460,1425,460,55,20,15,395,395,315,390,390,130,330,330,0,295,295,0
Oxford T (1211012) 00000 (  4.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,115,50,0,0,0,0,0,0,45,45,35,30,30,0,20,20,0
"Cumberland, Subd. D SC (1211014) 00000 (  6.9%)",60,60,20,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,205,190,45,20,0,0,55,55,35,35,35,0,45,45,0,45,45,0
"Pictou, Subd. A SC (1212001) 00000 (  4.3%)",35,30,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,195,190,50,25,20,0,70,70,35,30,30,0,35,35,0,30,30,0
Pictou T (1212004) 00000 (  5.1%),115,115,35,20,20,20,70,70,20,0,0,0,0,0,0,0,0,0,410,395,95,20,0,0,105,105,90,100,100,0,85,85,0,95,95,0
"Pictou, Subd. B SC (1212006) 00000 (  5.9%)",45,45,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,295,290,80,15,0,0,100,100,65,90,90,0,45,45,0,40,40,0
Westville T (1212008) 00000 (  8.3%),100,100,45,0,0,0,65,65,30,0,0,0,0,0,0,0,0,0,290,275,65,30,20,20,65,65,40,110,110,0,65,65,0,20,20,0
Stellarton T (1212009) 00000 (  8.4%),85,80,35,0,0,0,65,65,35,0,0,0,0,0,0,0,0,0,630,615,155,25,0,0,160,160,115,205,205,40,125,125,0,115,115,0
"Pictou, Subd. C SC (1212011) 00000 (  8.3%)",65,55,20,25,0,0,30,30,0,0,0,0,0,0,0,0,0,0,380,375,60,20,15,15,85,85,35,100,100,0,95,95,0,75,75,0
New Glasgow T (1212014) 00000 (  3.8%),300,300,120,25,25,0,180,180,90,50,50,0,30,30,0,0,0,0,1465,1410,390,130,90,80,460,445,290,295,295,20,315,315,0,270,270,0
Trenton T (1212016) 00001 (  8.9%),35,35,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,275,270,90,0,0,0,80,80,60,60,60,25,70,70,0,60,60,0
St. Mary's MD (1213001) 00000 (  7.3%),35,35,20,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,65,60,20,0,0,0,15,15,15,0,0,0,20,15,0,0,0,0
Guysborough MD (1213004) 00000 (  8.6%),105,105,60,0,0,0,65,65,50,0,0,0,0,0,0,0,0,0,190,190,45,0,0,0,75,75,45,30,30,0,25,25,0,55,55,0
Mulgrave T (1213008) 00111 ( 12.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigonish, Subd. A SC (1214001) 00000 (  4.3%)",95,95,35,20,20,20,55,55,0,0,0,0,0,0,0,0,0,0,415,400,15,15,0,0,165,165,15,85,85,0,80,80,0,75,75,0
Antigonish T (1214002) 00000 (  6.2%),165,155,40,20,15,15,80,75,0,20,20,0,25,25,0,0,0,0,910,855,115,60,20,15,220,210,60,235,230,30,195,195,0,200,200,0
"Antigonish, Subd. B SC (1214006) 00000 (  5.0%)",15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,295,280,85,0,0,0,105,100,65,80,80,0,40,40,0,55,55,0
"Inverness, Subd. C SC (1215001) 00000 (  7.5%)",50,50,30,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,95,95,30,0,0,0,25,25,20,30,30,0,25,25,0,0,0,0
Port Hawkesbury T (1215002) 00000 (  7.1%),90,90,40,0,0,0,65,65,40,15,15,0,0,0,0,0,0,0,375,350,115,40,15,0,130,130,95,55,55,0,90,90,0,60,60,0
"Inverness, Subd. B SC (1215006) 00000 (  6.2%)",140,130,80,30,25,20,95,95,65,0,0,0,0,0,0,0,0,0,210,200,60,25,0,0,40,40,30,50,50,0,45,45,0,45,45,0
"Inverness, Subd. A SC (1215011) 00000 (  4.3%)",95,95,55,0,0,0,65,65,50,25,25,0,0,0,0,0,0,0,235,230,70,20,0,0,75,75,50,50,50,0,60,60,0,30,30,0
"Richmond, Subd. C SC (1216001) 00000 (  8.7%)",45,45,20,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,155,145,40,25,25,20,45,40,25,30,30,0,25,25,0,30,30,0
"Richmond, Subd. A SC (1216006) 00000 (  9.7%)",65,60,40,0,0,0,50,40,30,0,0,0,0,0,0,0,0,0,245,240,100,35,25,25,60,60,45,75,75,25,40,40,0,40,40,0
"Richmond, Subd. B SC (1216011) 00001 (  8.0%)",30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,15,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Cape Breton RGM (1217030) 00000 (  5.7%),2905,2765,1080,505,390,320,1600,1575,705,520,520,35,205,205,20,80,80,0,8680,8275,2495,1005,630,580,2330,2290,1470,2250,2250,375,1615,1615,70,1485,1485,0
"Victoria, Subd. B SC (1218001) 00000 (  7.5%)",30,30,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,195,195,30,0,0,0,55,55,30,45,45,0,40,40,0,50,50,0
"Victoria, Subd. A SC (1218006) 00000 (  7.8%)",30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,15,0,0,0,25,25,0,25,25,0,20,20,0,30,30,0
Nunavut (62) 00101 (  8.7%),6560,6515,2755,575,530,200,1255,1250,675,1290,1290,765,1330,1330,640,2115,2115,475,1290,1265,430,55,30,20,155,155,105,205,205,120,275,275,80,600,600,105
Sanikiluaq HAM (6204001) 00101 (  7.0%),155,155,90,20,15,15,30,30,15,25,25,20,25,25,20,50,50,30,30,30,10,0,0,0,0,0,0,0,0,0,0,0,0,15,15,10
Iqaluit CY (6204003) 00101 (  8.4%),1630,1610,310,150,130,45,245,245,120,295,295,85,430,430,50,505,505,0,480,460,130,30,10,10,80,80,55,105,105,50,115,115,15,150,150,0
Kimmirut HAM (6204005) 00101 (  4.8%),90,90,30,10,10,0,15,15,10,15,15,10,15,15,10,35,35,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Dorset HAM (6204007) 01212 ( 12.0%),280,280,140,35,35,10,60,60,30,55,55,35,35,35,25,95,95,40,50,50,15,0,0,0,0,0,10,0,0,0,0,0,0,35,35,10
Pangnirtung HAM (6204009) 01212 ( 16.4%),280,270,125,30,25,10,65,65,25,50,50,35,55,55,35,80,80,20,70,70,25,0,0,0,0,0,0,10,10,0,10,10,0,50,50,20
Qikiqtarjuaq HAM (6204010) 03323 ( 23.2%),130,130,50,0,0,0,20,20,0,30,30,10,25,25,20,55,55,15,25,25,10,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0
Hall Beach HAM (6204011) 00101 (  4.1%),120,120,75,0,0,0,25,25,15,25,25,10,40,40,30,30,30,15,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Igloolik HAM (6204012) 00101 (  5.0%),270,265,155,15,10,0,50,50,40,55,55,40,55,55,45,95,95,25,50,50,25,0,0,0,10,10,10,10,10,10,0,0,10,30,30,10
Clyde River HAM (6204015) 00101 (  7.0%),195,195,105,10,10,0,35,35,15,45,45,30,40,40,25,70,70,30,20,20,10,0,0,0,0,0,0,10,10,0,0,0,0,10,10,0
Arctic Bay HAM (6204018) 01212 ( 11.9%),160,160,85,20,20,10,25,25,15,35,35,25,20,20,20,55,55,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
Pond Inlet HAM (6204020) 00101 (  8.9%),235,235,120,15,15,0,50,50,30,50,50,30,40,40,30,80,80,25,55,55,20,0,0,0,10,10,0,0,0,0,0,0,0,30,30,10
Coral Harbour HAM (6205014) 00101 (  6.5%),145,145,80,15,15,10,20,20,10,40,40,35,25,25,20,45,45,20,35,35,15,0,0,0,0,0,0,0,0,0,10,10,10,20,20,10
